asset_id,name
0,BTC
1,ETH
2,ATOM
3,MATIC
4,DYDX
5,SOL
6,AVAX
7,BNB
8,APE
9,OP
10,LTC
11,ARB
12,DOGE
13,INJ
14,SUI
15,kPEPE
16,CRV
17,LDO
18,LINK
19,STX
20,RNDR
21,CFX
22,FTM
23,GMX
24,SNX
25,XRP
26,BCH
27,APT
28,AAVE
29,COMP
30,MKR
31,WLD
32,FXS
33,HPOS
34,RLB
35,UNIBOT
36,YGG
37,TRX
38,kSHIB
39,UNI
40,SEI
41,RUNE
42,OX
43,FRIEND
44,SHIA
45,CYBER
46,ZRO
47,BLZ
48,DOT
49,BANANA
50,TRB
51,FTT
52,LOOM
53,OGN
54,RDNT
55,ARK
56,BNT
57,CANTO
58,REQ
59,BIGTIME
60,KAS
61,ORBS
62,BLUR
63,TIA
64,BSV
65,ADA
66,TON
67,MINA
68,POLYX
69,GAS
70,PENDLE
71,STG
72,FET
73,STRAX
74,NEAR
75,MEME
76,ORDI
77,BADGER
78,NEO
79,ZEN
80,FIL
81,PYTH
82,SUSHI
83,ILV
84,IMX
85,kBONK
86,GMT
87,SUPER
88,USTC
89,NFTI
90,JUP
91,kLUNC
92,RSR
93,GALA
94,JTO
95,NTRN
96,ACE
97,MAV
98,WIF
99,CAKE
100,PEOPLE
101,ENS
102,ETC
103,XAI
104,MANTA
105,UMA
106,ONDO
107,ALT
108,ZETA
109,DYM
110,MAVIA
111,W
112,PANDORA
113,STRK
114,PIXEL
115,AI
116,TAO
117,AR
118,MYRO
119,kFLOKI
120,BOME
121,ETHFI
122,ENA
123,MNT
124,TNSR
125,SAGA
126,MERL
127,HBAR
128,POPCAT
129,OMNI
130,EIGEN
131,REZ
132,NOT
133,TURBO
134,BRETT
135,IO
136,ZK
137,BLAST
138,LISTA
139,MEW
140,RENDER
141,kDOGS
142,POL
143,CATI
144,CELO
145,HMSTR
146,SCR
147,NEIROETH
148,kNEIRO
149,GOAT
150,MOODENG
151,GRASS
152,PURR
153,PNUT
154,XLM
155,CHILLGUY
156,SAND
157,IOTA
158,ALGO
159,HYPE
160,ME
161,MOVE
162,VIRTUAL
163,PENGU
164,USUAL
165,FARTCOIN
166,AI16Z
167,AIXBT
168,ZEREBRO
169,BIO
170,GRIFFAIN
171,SPX
172,S
173,MORPHO
174,TRUMP
175,MELANIA
176,ANIME
177,VINE
178,VVV
179,JELLY
180,BERA
181,TST
182,LAYER
183,IP
184,OM
185,KAITO
186,NIL
187,PAXG
188,PROMPT
189,BABY
190,WCT
191,HYPER
192,ZORA
193,INIT
194,DOOD
195,LAUNCHCOIN
196,NXPC
197,SOPH
198,RESOLV
199,SYRUP
200,PUMP
201,PROVE
202,YZY
203,XPL
204,WLFI
